公司全称,网址,简称,行业,地址,市值,注册资本,状态,类型,注册时间,证券类别,市值_亿
上海玄霆娱乐信息科技有限公司,https://top.chinaz.com/company/XuanZuoYuLe.html,玄霆娱乐,IT/互联网/通信,上海,市值：1.08亿,10800万人民币 ,存续（在营、开业、在册）,有限责任公司（法人独资）,2004-08-26,,1.08
厦门大加盈商贸有限公司,https://top.chinaz.com/company/DaJiaYing.html,大加盈,建设工程/房产服务,福建,市值：100.0万,100.000000万人民币 ,存续（在营、开业、在册）,有限责任公司,2014-08-20,,0.01
沪江教育科技（上海）股份有限公司,https://top.chinaz.com/company/HuJiangJiaoYu.html,沪江教育,教育,上海,市值：2.0亿,20000万人民币 ,存续（在营、开业、在册）,股份有限公司（非上市）,2009-03-12,,2.0
北京京东世纪贸易有限公司,https://top.chinaz.com/company/jingdongshengcheng.html,京东,IT/互联网/通信,北京,市值：4030.57亿,139798.5564万元美元 ,存续（在营、开业、在册）,有限责任公司(台港澳法人独资),2007-04-20,中概股,4030.57
北京维艾思气象信息科技有限公司,https://top.chinaz.com/company/WeiAiSi.html,维艾思,其它,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2000-04-29,,0.1
厦门欣欣信息有限公司,https://top.chinaz.com/company/XiaMenXinXin.html,厦门欣欣,IT/互联网/通信,福建,市值：409.35万,409.348400万人民币 ,存续（在营、开业、在册）,有限责任公司,2010-10-18,,0.040935
北京红袖添香科技发展有限公司,https://top.chinaz.com/company/HongXiuTianXiang.html,红袖添香,IT/互联网/通信,北京,市值：1000.0万,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(法人独资),2006-03-20,,0.1
浙江核新同花顺网络信息股份有限公司,https://top.chinaz.com/company/TongHuaShun.html,同花顺,IT/互联网/通信,浙江,市值：1080.57亿,5.38亿元 ,存续,股份有限公司（上市、自然人投资或控股）,2001-08-24,A股,1080.57
北京雪球信息科技有限公司,https://top.chinaz.com/company/XueQiuXinXi.html,雪球信息,IT/互联网/通信,北京,市值：564.60万,564.6018万元人民币 ,存续（在营、开业、在册）,其他有限责任公司,2010-03-31,,0.05646
一九零五(北京)网络科技有限公司,https://top.chinaz.com/company/YiJiuLingWu.html,一九零五,IT/互联网/通信,北京,市值：3000.0万,3000.00万元 ,开业,有限责任公司(法人独资),2010-06-13,,0.3
深圳市腾讯计算机系统有限公司,https://top.chinaz.com/company/TengXun.html,腾讯控股,IT/互联网/通信,广东,市值：3.91亿,(人民币)6500.0000万元 ,存续,有限责任公司,1998-11-11,港股,3.91
广州网易计算机系统有限公司,https://top.chinaz.com/company/WangYi.html,网易,IT/互联网/通信,广东,市值：3546.05亿,2000万 ,存续,有限责任公司(自然人投资或控股),1997-06-24,中概股,3546.05
北京五八信息技术有限公司,https://top.chinaz.com/company/WuBaXinXi.html,五八信息,IT/互联网/通信,北京,市值：577.81亿,1000万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2005-12-12,中概股,577.81
北京腾飞克科技有限公司,https://top.chinaz.com/company/TengFeiKe.html,腾飞克,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2010-11-25,,0.01
广州启生信息技术有限公司,https://top.chinaz.com/company/GuangZhouQiSheng.html,广州启生,医疗健康,广东,市值：1063.83万,1063.83万 ,存续,有限责任公司(法人独资),2006-04-11,,0.10638299999999999
上海语程信息科技有限公司,https://top.chinaz.com/company/YuChengXinXi.html,语程信息,IT/互联网/通信,上海,市值：10.0万,10万人民币 ,存续（在营、开业、在册）,有限责任公司,2008-11-13,,0.001
杭州凤侠网络科技有限公司,https://top.chinaz.com/company/HangZhouFengXia.html,杭州凤侠,IT/互联网/通信,浙江,市值：1000.0万,1000.000000万 ,存续,私营有限责任公司(自然人控股或私营性质企业控股),2012-02-14,,0.1
天津畅玩网络科技有限公司,https://top.chinaz.com/company/ChangWanWangLuo.html,畅玩网络,IT/互联网/通信,天津,市值：1000.0万,1000万人民币 ,存续,有限责任公司,2014-08-20,,0.1
深圳市榜中榜计算机有限公司,https://top.chinaz.com/company/BangZhongBang.html,榜中榜,广告/商务服务/文化传媒,广东,市值：333.0万,(人民币)333.0000万元 ,存续,有限责任公司,2010-04-09,,0.0333
广州辰龙教育科技有限公司,https://top.chinaz.com/company/ChenLongJiaoYu.html,辰龙教育,教育,广东,市值：100.0万,100万 ,存续,有限责任公司(自然人投资或控股),2015-03-31,,0.01
北京酷我科技有限公司,https://top.chinaz.com/company/KuWoKeJi.html,酷我科技,IT/互联网/通信,北京,市值：1000.0万,1000.00万元 ,开业,有限责任公司(自然人投资或控股),2005-12-08,,0.1
北京阅言科技有限公司,https://top.chinaz.com/company/YueYanKeJi.html,阅言科技,IT/互联网/通信,北京,市值：100.0万,100.00万元 ,开业,有限责任公司(法人独资),2011-04-07,,0.01
上海瑞家信息技术有限公司,https://top.chinaz.com/company/RuiJiaXinXi.html,瑞家信息,IT/互联网/通信,上海,市值：110.0万,110.00万人民币 ,存续（在营、开业、在册）,有限责任公司（法人独资）,2007-01-31,,0.011
北京晟软在线科技有限公司,https://top.chinaz.com/company/ZuoRuanZaiXian.html,晟软在线,IT/互联网/通信,北京,市值：100.0万,100万元人民币 ,存续（在营、开业、在册）,有限责任公司(自然人投资或控股),2010-11-03,,0.01
北京拓世宏业科技发展有限公司,https://top.chinaz.com/company/SFUN.html,房天下,IT/互联网/通信,北京,市值：1.74亿,100万人民币 ,存续（在营、开业、在册）,其他有限责任公司,2014-03-06,中概股,1.74
广州千钜网络科技有限公司,https://top.chinaz.com/company/GuangZhouQianZuo.html,广州千钜,IT/互联网/通信,广东,市值：100.0万,100万 ,存续,有限责任公司(自然人投资或控股),2008-04-23,,0.01
北京奥蓝德信息科技有限公司,https://top.chinaz.com/company/aolande.html,奥蓝德信息,IT/互联网/通信,北京,市值：100.0万,100.000000万人民币 ,开业,有限责任公司(法人独资),2004-10-10,,0.01
深圳前海百递网络有限公司,https://top.chinaz.com/company/kuaidi100.html,快递100,IT/互联网/通信,广东,市值：733.33万,733.333300万人民币 ,存续（在营、开业、在册）,有限责任公司,2014-08-18,,0.07333300000000001
深圳市彬讯科技有限公司,https://top.chinaz.com/company/BinXunKeJi.html,彬讯科技,IT/互联网/通信,广东,市值：137.0亿,(人民币)222.2222万元 ,存续,有限责任公司,2008-07-18,,137.0
深圳市凯德亚科技有限公司,https://top.chinaz.com/company/KaiDeYaKeJi.html,凯德亚科技,IT/互联网/通信,广东,市值：100.0万,(人民币)100.0000万元 ,存续,有限责任公司,2007-12-19,,0.01
成都时创彩网络科技有限公司,https://top.chinaz.com/company/ChengDuShiChuangCai.html,成都时创彩,IT/互联网/通信,四川,市值：10.0万,10万人民币 ,存续（在营、开业、在册）,有限责任公司(自然人独资),2014-11-13,,0.001
北京瑞荻互动科技有限公司,https://top.chinaz.com/company/xiachufang.html,下厨房,IT/互联网/通信,北京,市值：485.0万,485.000000万人民币 ,开业,有限责任公司(自然人投资或控股),2011-05-06,,0.0485
珠海健康云科技有限公司,https://top.chinaz.com/company/ZhuHaiJianKangYun.html,珠海健康云,IT/互联网/通信,广东,市值：1000.0万,1000万 ,存续,有限责任公司(自然人投资或控股),2012-08-20,,0.1
