序号,Shape *,名称,方位,最近地铁站,直线距离,通行距离,步行时间（分钟）,骑行时间（分钟）,驾车（分钟）
60,点,北太平路16号院,北60,玉泉路地铁站,805.12082,1082.992083,18.04986805,3.60997361,0.84069026
61,点,新华社皇亭子宿舍,南61,军事博物馆地铁站,445.304003,989.512517,16.49187528,3.298375057,1.072395276
62,点,北蜂窝路5号院,东62,军事博物馆地铁站,474.712182,691.800231,11.53000385,2.30600077,1.350822825
63,点,北京六建家属院,南63,五棵松地铁站,464.468981,889.851989,14.83086648,2.966173297,1.204939617
64,点,复兴路40号社区,南64,玉泉路地铁站,394.800049,621.435347,10.35725578,2.071451157,0.457372426
65,点,复兴路40号社区,南65,玉泉路地铁站,376.082796,523.85467,8.730911167,1.746182233,0.392316077
66,点,永定路西里,南66,五棵松地铁站,894.794874,1187.819527,19.79699212,3.959398423,1.556089772
67,点,永定路西里,南67,玉泉路地铁站,815.674669,1125.895238,18.76492063,3.752984127,0.9166465
68,点,北太平路3号院,南68,五棵松地铁站,517.018985,972.992073,16.21653455,3.24330691,1.260368396
69,点,北蜂窝路5号院,西69,军事博物馆地铁站,361.31538,417.454535,6.957575583,1.391515117,1.574789585
70,点,北太平路17号院,西70,玉泉路地铁站,628.15692,848.600246,14.14333743,2.828667487,0.773961927
71,点,北太平路3号院,西71,五棵松地铁站,476.271296,965.104527,16.08507545,3.21701509,1.255109782
72,点,新华社皇亭子宿舍,南72,军事博物馆地铁站,254.202469,994.724526,16.5787421,3.31574842,2.070763625
73,点,新华社皇亭子宿舍,西73,军事博物馆地铁站,399.290371,616.116526,10.26860877,2.053721753,1.26398236
74,点,永定路东街5号院,东74,五棵松地铁站,589.887174,781.095086,13.01825143,2.603650287,1.770717626
75,点,北蜂窝路5号院,北75,军事博物馆地铁站,382.101549,583.366954,9.722782567,1.944556513,1.185815808
76,点,北蜂窝路5号院,北76,军事博物馆地铁站,259.9985,357.091586,5.951526433,1.190305287,1.33333
77,点,北蜂窝路5号院,北77,军事博物馆地铁站,311.610424,530.866008,8.8477668,1.76955336,1.42902271
